,ID,Date,Text,Score
0,1621576723190931456,Friday February 03 18:29:52 2023,rt you will notice that the only person that shows up to these hearings that has actually been on puberty blockers is me,0
1,1621576723035992064,Friday February 03 18:29:52 2023, i do not hate her i should but i do not know how i just do not know how,0
2,1621576721878106113,Friday February 03 18:29:52 2023,rt i uniquely despise because few things make me angry like an immigrant escaping an open sewer line somalia only to,0
3,1621576721072799745,Friday February 03 18:29:52 2023,rt it is not unusual for people to hate what they cannot have or become which would explain why so many unhappy,0
4,1621576720808640514,Friday February 03 18:29:52 2023,welp found my new blast when I am angry song it is great guys,1
5,1621576720351432706,Friday February 03 18:29:52 2023,rt the driver got out and was screaming about white privilege is not this a hate crime,0 
6,1621576719932039175,Friday February 03 18:29:52 2023, i hate that you all have to even consider this but i fully understand the danger of people willingly ignoring the temperature increase it is hard to watch,0 
7,1621576719860637704,Friday February 03 18:29:52 2023,rt ireland ireland migrant pedophile who entered temple street childrens hospital and attempted to rape an irish children has been,0
8,1621576719688949761,Friday February 03 18:29:52 2023,i get disgusted so easily now,0 
10,1621576718644297730,Friday February 03 18:29:51 2023,rt not to sound like a boomer but the forced switch from wired headphones earphones to bluetooth is one of the worst technologies,0
12,1621576717864255489,Friday February 03 18:29:51 2023, maybe it is bc I am from a military town where enlisting is constantly pushed amp many peoples only escape from poverty amp shit but i dont think many people realize how many soldiers also hate the military amp its system not to mention how many soldiers try to make the military better,0
13,1621576717780254720,Friday February 03 18:29:51 2023,rt not all lesbians hate men but i do,0 
14,1621576717713170432,Friday February 03 18:29:51 2023,i hate bipolar weather,0
15,1621576717004574721,Friday February 03 18:29:51 2023,rt angry butterfly,0 
16,1621576716278968322,Friday February 03 18:29:51 2023,rt you hate them or love them but you cannot deny their friendship is really sweet red heart sparkles the way all of them trying to console,1 
17,1621576716224176129,Friday February 03 18:29:51 2023,why is it so okay to loudly openly hate children but if i say i do not care for dogs people lose their fucking minds,0 
18,1621576715943219202,Friday February 03 18:29:51 2023, fuck off you are a hysteric regularly retweeting hate mongers you are simply no longer credible but do not worry you will make with your new two genders a penis goes in a vagina friends good little house groomer,0
19,1621576715704074242,Friday February 03 18:29:51 2023,sometimes i hate my dog and i feel so guilty for saying that but i do,0
20,1621576715196669952,Friday February 03 18:29:50 2023,i wanna go home i hate it here,0
21,1621576714546462720,Friday February 03 18:29:50 2023,rt they hate ireland they are being exposed with every tweet ,0
22,1621576714236186625,Friday February 03 18:29:50 2023,rt we actuallyautistic humans are constantly told that we are being aggressive for speaking our minds that we are mad,0 
24,1621576712549974021,Friday February 03 18:29:50 2023,i hate feeling this way hopeless,0 
25,1621576712294367232,Friday February 03 18:29:50 2023,rt hate removing mascara,0 
28,1621576711707185152,Friday February 03 18:29:50 2023, just another hate crime by a black assailant against a npoc abc reported that a neighbor who was not named heard what sounded like a gunshot when they ran outside she said they heard the suspect uttering racial slurs about white privilege,0 
